,No,Original_Name,Japanese_Name,Generation,Height_m,Weight_kg,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Mega Evolution,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,BMI,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Bulbasaur,1,Bulbasaur,Fushigidane,1,0.7,6.9,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,64,1058960,Ordinary,,,45,49,49,65,65,45,318,53.0,0,0,0,1,0,0,1 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,14.1,Seed,3 stages evolution,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
Ivysaur,2,Ivysaur,Fushigisou,1,1.0,13.0,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,142,1058960,Ordinary,,,60,62,63,80,80,60,405,67.5,0,0,0,1,1,0,"1 Special Attack, 1 Special Defense",50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,13,Seed,3 stages evolution,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Venusaur (Mega EV),3,Venusaur,,1,2.4,155.5,Grass,Poison,Thick Fat,,,Green,87.5,12.5,0,20,Monster,Grass,45,281,1058960,Ordinary,Mega,,80,100,123,122,120,80,625,104.2,0,0,0,2,1,0,"2 Special Attack, 1 Special Defense",50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,3,Venusaur,Fushigibana,1,2.0,100.0,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,263,1058960,Ordinary,,,80,82,83,100,100,80,525,87.5,0,0,0,2,1,0,"2 Special Attack, 1 Special Defense",50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,Gigantamax Venusaur,Mega Venusaur,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,25,Seed,3 stages evolution,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
Charmander,4,Charmander,Hitokage,1,0.6,8.5,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,62,1058960,Ordinary,,,39,52,43,60,50,65,309,51.5,0,0,0,0,0,1,1 Speed,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,23.6,Lizard,3 stages evolution,Charmander,Level ,Charmeleon,Level ,Charizard,,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
Charmeleon,5,Charmeleon,Lizardo,1,1.1,19.0,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,142,1058960,Ordinary,,,58,64,58,80,65,80,405,67.5,0,0,0,1,0,1,"1 Special Attack, 1 Speed",50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,15.7,Flame,3 stages evolution,Charmander,Level ,Charmeleon,Level ,Charizard,,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
Charizard,6,Charizard,Lizardon,1,1.7,90.5,Fire,Flying,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,267,1058960,Ordinary,,,78,84,78,109,85,100,534,89.0,0,0,0,3,0,0,3 Special Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,Gigantamax Charizard,Mega Charizard X,Mega Charizard Y,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,31.3,Flame,3 stages evolution,Charmander,Level ,Charmeleon,Level ,Charizard,,,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
Charizard (Mega EV X),6,Charizard,,1,1.7,110.5,Fire,Dragon,Tough Claws,,,Black,87.5,12.5,0,20,Monster,Dragon,45,285,1058960,Ordinary,Mega,,78,130,111,130,85,100,634,105.7,0,0,0,3,0,0,3 Special Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard (Mega EV Y),6,Charizard,,1,1.7,100.5,Fire,Flying,Drought,,,Red,87.5,12.5,0,20,Monster,Dragon,45,285,1058960,Ordinary,Mega,,78,104,78,159,115,100,634,105.7,0,0,0,3,0,0,3 Special Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle,7,Squirtle,Zenigame,1,0.5,9.0,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,63,1058960,Ordinary,,,44,48,65,50,64,43,314,52.3,0,0,1,0,0,0,1 Defense,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,36,Tiny Turtle,3 stages evolution,Squirtle,Level ,Wartortle,Level ,Blastoise,,,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
Wartortle,8,Wartortle,Kameil,1,1.0,22.5,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,142,1058960,Ordinary,,,59,63,80,65,80,58,405,67.5,0,0,1,0,1,0,"1 Defense, 1 Special Defense",50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,22.5,Turtle,3 stages evolution,Squirtle,Level ,Wartortle,Level ,Blastoise,,,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
Blastoise (Mega EV),9,Blastoise,,1,1.6,101.1,Water,,Mega Launcher,,,Blue,87.5,12.5,0,20,Monster,Water1,45,284,1058960,Ordinary,Mega,,79,103,120,135,115,78,630,105.0,0,0,0,0,3,0,"1 Defense, 1 Special Defense",50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,9,Blastoise,Kamex,1,1.6,85.5,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,265,1058960,Ordinary,,,79,83,100,85,105,78,530,88.3,0,0,0,0,3,0,3 Special Defense,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,Gigantamax Blastoise,Mega Blastoise,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,33.4,Shellfish,3 stages evolution,Squirtle,Level ,Wartortle,Level ,Blastoise,,,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
Caterpie,10,Caterpie,Caterpie,1,0.3,2.9,Bug,,Shield Dust,,Run Away,Green,50,50,0,15,Bug,,255,39,1000000,Ordinary,,,45,30,35,20,20,45,195,32.5,1,0,0,0,0,0,1 HP,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,32.2,Worm,3 stages evolution,Caterpie,Level ,Metapod,Level ,Butterfree,,,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
Metapod,11,Metapod,Transel,1,0.7,9.9,Bug,,Shed Skin,,,Green,50,50,0,15,Bug,,120,72,1000000,Ordinary,,,50,20,55,25,25,30,205,34.2,0,0,2,0,0,0,2 Defense,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,20.2,Cocoon,3 stages evolution,Caterpie,Level ,Metapod,Level ,Butterfree,,,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
Butterfree,12,Butterfree,Butterfree,1,1.1,32.0,Bug,Flying,Compound Eyes,,Tinted Lens,White,50,50,0,15,Bug,,45,198,1000000,Ordinary,,,60,45,50,90,80,70,395,65.8,0,0,0,2,1,0,"2 Special Attack, 1 Special Defense",50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,Gigantamax Butterfree,,,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,26.4,Butterfly,3 stages evolution,Caterpie,Level ,Metapod,Level ,Butterfree,,,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
Weedle,13,Weedle,Beedle,1,0.3,3.2,Bug,Poison,Shield Dust,,Run Away,Brown,50,50,0,15,Bug,,255,39,1000000,Ordinary,,,40,35,30,20,20,50,195,32.5,0,0,0,0,0,1,1 Speed,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,35.6,Hairy Bug,3 stages evolution,Weedle,Level ,Kakuna,Level ,Beedrill,,,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
Kakuna,14,Kakuna,Cocoon,1,0.6,10.0,Bug,Poison,Shed Skin,,,Yellow,50,50,0,15,Bug,,120,72,1000000,Ordinary,,,45,25,50,25,25,35,205,34.2,0,0,2,0,0,0,2 Defense,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,27.8,Cocoon,3 stages evolution,Weedle,Level ,Kakuna,Level ,Beedrill,,,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
Beedrill (Mega EV),15,Beedrill,,1,1.4,40.5,Bug,Poison,Adaptability,,,Yellow,50,50,0,15,Bug,,45,223,1000000,Ordinary,Mega,,65,150,40,15,80,145,495,82.5,0,2,0,0,1,0,"2 Attack, 1 Special Defense",50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
