,No,Original_Name,Japanese_Name,Generation,Generation_Str,Height_m,Weight_kg,BMI,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution_Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Bulbasaur,1.0,Bulbasaur,Fushigidane,1.0,I,0.7,6.9,14.1,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0.0,20.0,Monster,Grass,45.0,64.0,1058960.0,Ordinary,,,45.0,49.0,49.0,65.0,65.0,45.0,318.0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,1 Special Attack,50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,Seed,3 stages evolution,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
Ivysaur,2.0,Ivysaur,Fushigisou,1.0,I,1.0,13.0,13.0,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0.0,20.0,Monster,Grass,45.0,142.0,1058960.0,Ordinary,,,60.0,62.0,63.0,80.0,80.0,60.0,405.0,67.5,0.0,0.0,0.0,1.0,1.0,0.0,"1 Special Attack, 1 Special Defense",50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,Seed,3 stages evolution,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Venusaur(Mega EV),3.0,Venusaur,,1.0,I,2.4,155.5,,Grass,Poison,Thick Fat,,,Green,87.5,12.5,0.0,20.0,Monster,Grass,45.0,281.0,1058960.0,Ordinary,Mega,,80.0,100.0,123.0,122.0,120.0,80.0,625.0,,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,3.0,Venusaur,Fushigibana,1.0,I,2.0,100.0,25.0,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0.0,20.0,Monster,Grass,45.0,263.0,1058960.0,Ordinary,,,80.0,82.0,83.0,100.0,100.0,80.0,525.0,87.5,0.0,0.0,0.0,2.0,1.0,0.0,"2 Special Attack, 1 Special Defense",50.0,Medium Slow,20.0,Medium Slow,1059860.0,1.0,0.0,0.0,0.0,0.0,0.0,Gigantamax Venusaur,Mega Venusaur,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,Seed,3 stages evolution,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
Charmander,4.0,Charmander,Hitokage,1.0,I,0.6,8.5,23.6,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0.0,20.0,Monster,Dragon,45.0,62.0,1058960.0,Ordinary,,,39.0,52.0,43.0,60.0,50.0,65.0,309.0,51.5,0.0,0.0,0.0,0.0,0.0,1.0,1 Speed,50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,Lizard,3 stages evolution,Charmander,Level ,Charmeleon,Level ,Charizard,,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
Charmeleon,5.0,Charmeleon,Lizardo,1.0,I,1.1,19.0,15.7,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0.0,20.0,Monster,Dragon,45.0,142.0,1058960.0,Ordinary,,,58.0,64.0,58.0,80.0,65.0,80.0,405.0,67.5,0.0,0.0,0.0,1.0,0.0,1.0,"1 Special Attack, 1 Speed",50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,Flame,3 stages evolution,Charmander,Level ,Charmeleon,Level ,Charizard,,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
Charizard,6.0,Charizard,Lizardon,1.0,I,1.7,90.5,31.3,Fire,Flying,Blaze,,Solar Power,Red,87.5,12.5,0.0,20.0,Monster,Dragon,45.0,267.0,1058960.0,Ordinary,,,78.0,84.0,78.0,109.0,85.0,100.0,534.0,89.0,0.0,0.0,0.0,3.0,0.0,0.0,3 Special Attack,50.0,Medium Slow,20.0,Medium Slow,1059860.0,1.0,0.0,0.0,0.0,0.0,0.0,Gigantamax Charizard,Mega Charizard X,Mega Charizard Y,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,Flame,3 stages evolution,Charmander,Level ,Charmeleon,Level ,Charizard,,,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
Charizard(Mega EV X),6.0,Charizard,,1.0,I,1.7,110.5,,Fire,Dragon,Tough Claws,,,Black,87.5,12.5,0.0,20.0,Monster,Dragon,45.0,285.0,1058960.0,Ordinary,Mega,,78.0,130.0,111.0,130.0,85.0,100.0,634.0,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard(Mega EV Y),6.0,Charizard,,1.0,I,1.7,100.5,,Fire,Flying,Drought,,,Red,87.5,12.5,0.0,20.0,Monster,Dragon,45.0,285.0,1058960.0,Ordinary,Mega,,78.0,104.0,78.0,159.0,115.0,100.0,634.0,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle,7.0,Squirtle,Zenigame,1.0,I,0.5,9.0,36.0,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0.0,20.0,Monster,Water1,45.0,63.0,1058960.0,Ordinary,,,44.0,48.0,65.0,50.0,64.0,43.0,314.0,52.333333333333336,0.0,0.0,1.0,0.0,0.0,0.0,1 Defense,50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Tiny Turtle,3 stages evolution,Squirtle,Level ,Wartortle,Level ,Blastoise,,,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
